trial,slope,tau_ms,weight_subthreshold,lr,polyak_alpha,polyak_beta,grad_clip_norm,init_dist,init_C_m,init_g_L,init_v_reset,init_v_T,init_E_L,init_delta_T,final_loss,min_loss,gamma,n_spikes_sim,elapsed_s
0,7.852582461281652,3.685463937612944,0.2148299911976241,0.01427073635322699,0.0,0.0,1.3141431248259345,0.2992352377737584,175.7675289334395,11.689902091797363,-72.90567391208366,-59.08361512079407,-96.32902151868188,3.985589792320065,7.68253755569458,7.648423671722412,0.12967032967032968,1,0.9762489795684814
1,4.669345177644497,2.892778984287419,0.10713467876898557,0.00657397417842875,0.0,0.0,6.2439795585749875,0.34309941453095966,101.03135021960964,13.834768953220834,-73.66250201831727,-52.02815141442578,-77.36985576561925,10.67447287437651,5.377847671508789,5.374490261077881,-0.0488262910798122,6,0.8661167621612549
2,8.656680239158133,3.905950323120207,0.25556035672396327,0.018541438760443122,0.0,0.0,0.35984621427921015,0.45291201663708297,20.103473021878532,7.293520145290573,-47.26626558293814,-57.42087518152429,-81.42082457556324,16.054187327977317,195.2792205810547,195.2792205810547,-1.0,79,0.875338077545166
3,7.124996276063957,3.3015891794354735,0.0722931480789352,0.007168013793436008,0.0,0.0,0.11270809773101849,0.48008702354408334,71.0509844267325,11.80062402510952,-74.0536687339437,-52.881243129155244,-95.96800861021066,19.93226482072025,3.900315046310425,3.7988805770874023,0.380952380952381,5,0.8728089332580566
4,1.3946848049326706,2.231797730638499,0.1615180470259874,0.00575344993371928,0.0,0.0,3.558852653530039,0.35415508828643855,59.351627900130175,7.03365971706868,-47.60079968815064,-55.95173265449118,-70.43240361667677,13.358675925287109,nan,20.094358444213867,nan,0,0.8993608951568604
5,9.768412340549181,3.770185976453601,0.05524176514475474,0.015762962332758576,0.0,0.0,2.5395415332369016,0.3145501463625442,142.6781445562193,12.010709692372615,-54.59003649981825,-57.236845264542154,-65.024025031699,18.895904802525845,4.32816743850708,4.32816743850708,0.27963525835866265,12,0.8832452297210693
6,7.730827168908354,2.978530381661596,0.1485901849157526,0.022612233131882792,0.0,0.0,1.2330573927856534,0.29260711484368296,216.21615145824074,10.978313071539255,-61.70230340336901,-46.59303540295829,-109.32783750972953,10.489920536963416,8.330254554748535,8.330254554748535,nan,0,0.8862159252166748
7,7.967610900131061,2.2832779359458097,0.04573995269351586,0.035736935699968726,0.0,0.0,4.272533331224688,0.22616502083409337,153.46700056178156,11.269649670199588,-68.37511872320404,-48.21794124266126,-81.36602270018415,9.137804695228452,5.364255905151367,5.285473823547363,-0.02610441767068273,3,0.8680019378662109
8,1.717079510417686,2.3053802676828417,0.048473587311456574,0.030325331587641512,0.0,0.0,4.788161003726411,0.31735179286178666,231.2910957662108,11.643536878816002,-79.95541888121883,-59.41801296294368,-78.93649084392315,8.84025685336455,5.53680944442749,4.885733604431152,0.08958130477117816,4,0.8655152320861816
9,4.7786664100078875,3.375067870219744,0.1836670131126047,0.03599237599883559,0.0,0.0,1.4990171999463051,0.3398252811035549,203.07831831882123,7.384123275890096,-79.51605800816978,-50.29794124715719,-76.8771153061648,19.4628269341738,6.701756000518799,6.701756000518799,-0.02610441767068273,3,0.9079501628875732
10,4.022581230209521,2.0947450134589793,0.07913581265273002,0.028776553292500087,0.0,0.0,8.547824241353698,0.2959485138367681,213.24039225074276,9.87259689549711,-51.55139508812717,-58.24173855330965,-84.24774435868025,18.56166984727493,5.438712120056152,5.438712120056152,0.019047619047619067,5,0.8695158958435059
11,9.304267394061718,2.5731875298276266,0.05171016796927419,0.02524697797894023,0.0,0.0,2.7505775578752494,0.4684661344740147,101.16858392287018,13.680805037304925,-72.27602161448131,-57.35915476166516,-86.38569487632346,18.237690567643263,4.928919315338135,4.872387409210205,0.1295774647887324,6,0.8590130805969238
12,6.616718640766313,2.2795751809397364,0.27893047504052193,0.005118085933369727,0.0,0.0,2.258139420477003,0.34569332663608265,81.59422031129117,12.401282555191619,-74.07809569419017,-41.36074009997651,-84.9337876375656,4.325322532493072,6.028944492340088,6.028944492340088,nan,0,0.8438279628753662
13,8.316235326072885,2.8821548592345687,0.01290097522201532,0.021138409948173682,0.0,0.0,0.5282549619544596,0.37844047474703085,175.16006737064998,11.71004890765142,-61.95976697997959,-54.36330905893313,-104.04677484897516,19.187845920735995,5.005430698394775,4.6317338943481445,nan,0,0.8778910636901855
14,4.7124348888596455,2.8287075439887226,0.16954443380876613,0.006598600087777805,0.0,0.0,0.10104554187035607,0.3580175637077852,160.8368837996057,12.473931868587073,-55.606031483241544,-39.26315837019278,-102.68791311129844,10.442054266393844,8.089653968811035,8.089653968811035,nan,0,0.9140470027923584
15,2.6587678569553805,3.0437528693777116,0.16447915254997958,0.00572317646206693,0.0,0.0,0.30330903533338455,0.3160228407079155,163.43869721552747,6.827119199161744,-74.75150677350571,-44.15043514372634,-70.9082388085781,13.547907399890356,6.18046236038208,6.18046236038208,-0.09542356377799423,4,0.8645460605621338
