scenario,delta,direction_idx,gamma,n_spikes_sim
tonic,0.02,0,0.8263888888888888,9
tonic,0.02,1,0.1319444444444445,9
tonic,0.02,2,0.020761245674740504,8
tonic,0.02,3,0.020761245674740504,8
tonic,0.02,4,0.30555555555555564,9
tonic,0.02,5,0.8263888888888888,9
tonic,0.02,6,0.47916666666666674,9
tonic,0.02,7,1.0,9
tonic,0.02,8,-0.21527777777777773,9
tonic,0.02,9,-0.10526315789473688,10
tonic,0.02,10,1.0,9
tonic,0.02,11,0.6527777777777778,9
tonic,0.02,12,1.0,9
tonic,0.02,13,-0.04166666666666662,9
tonic,0.02,14,1.0,9
tonic,0.02,15,-0.04166666666666662,9
tonic,0.02,16,0.020761245674740504,8
tonic,0.02,17,1.0,9
tonic,0.02,18,1.0,9
tonic,0.02,19,0.19377162629757788,8
tonic,0.02,20,0.8858131487889275,8
tonic,0.02,21,0.7128027681660901,8
tonic,0.02,22,0.8263888888888888,9
tonic,0.02,23,1.0,9
tonic,0.02,24,1.0,9
tonic,0.02,25,-0.04166666666666662,9
tonic,0.02,26,0.8263888888888888,9
tonic,0.02,27,-0.04166666666666662,9
tonic,0.02,28,0.47916666666666674,9
tonic,0.02,29,0.7128027681660901,8
tonic,0.05,0,0.19377162629757788,8
tonic,0.05,1,0.24561403508771928,10
tonic,0.05,2,0.020761245674740504,8
tonic,0.05,3,0.19377162629757788,8
tonic,0.05,4,0.07017543859649122,10
tonic,0.05,5,-0.21527777777777773,9
tonic,0.05,6,-0.10526315789473688,10
tonic,0.05,7,1.0,9
tonic,0.05,8,-0.10526315789473688,10
tonic,0.05,9,0.007142857142857149,11
tonic,0.05,10,-0.04166666666666662,9
tonic,0.05,11,-0.04166666666666662,9
tonic,0.05,12,0.7128027681660901,8
tonic,0.05,13,0.07017543859649122,10
tonic,0.05,14,1.0,9
tonic,0.05,15,-0.10526315789473688,10
tonic,0.05,16,0.19377162629757788,8
tonic,0.05,17,1.0,9
tonic,0.05,18,0.8858131487889275,8
tonic,0.05,19,0.19377162629757788,8
tonic,0.05,20,0.020761245674740504,8
tonic,0.05,21,0.020761245674740504,8
tonic,0.05,22,0.19377162629757788,8
tonic,0.05,23,0.1319444444444445,9
tonic,0.05,24,1.0,9
tonic,0.05,25,-0.10526315789473688,10
tonic,0.05,26,-0.21527777777777773,9
tonic,0.05,27,0.07017543859649122,10
tonic,0.05,28,0.07017543859649122,10
tonic,0.05,29,-0.32525951557093424,8
tonic,0.1,0,-0.1522491349480969,8
tonic,0.1,1,-0.17142857142857143,11
tonic,0.1,2,0.08333333333333325,7
tonic,0.1,3,0.08333333333333325,7
tonic,0.1,4,0.18571428571428572,11
tonic,0.1,5,-0.10526315789473688,10
tonic,0.1,6,0.18571428571428572,11
tonic,0.1,7,1.0,9
tonic,0.1,8,0.06060606060606066,13
tonic,0.1,9,0.5416666666666667,15
tonic,0.1,10,0.24561403508771928,10
tonic,0.1,11,0.18571428571428572,11
tonic,0.1,12,0.36678200692041524,8
tonic,0.1,13,0.3076923076923076,12
tonic,0.1,14,0.8263888888888888,9
tonic,0.1,15,0.4393939393939395,13
tonic,0.1,16,0.08333333333333325,7
tonic,0.1,17,0.8263888888888888,9
tonic,0.1,18,0.36678200692041524,8
tonic,0.1,19,0.08333333333333325,7
tonic,0.1,20,0.19377162629757788,8
tonic,0.1,21,0.19377162629757788,8
tonic,0.1,22,-0.1522491349480969,8
tonic,0.1,23,-0.10526315789473688,10
tonic,0.1,24,0.8858131487889275,8
tonic,0.1,25,0.25000000000000006,13
tonic,0.1,26,0.07017543859649122,10
tonic,0.1,27,0.12454212454212447,12
tonic,0.1,28,0.24561403508771928,10
tonic,0.1,29,0.08333333333333325,7
tonic,0.2,0,0.19377162629757788,8
tonic,0.2,1,0.5849802371541502,14
tonic,0.2,2,0.14736842105263157,6
tonic,0.2,3,0.2142857142857143,5
tonic,0.2,4,-0.007905138339921132,14
tonic,0.2,5,0.007142857142857149,11
tonic,0.2,6,0.12454212454212447,12
tonic,0.2,7,0.25694444444444436,7
tonic,0.2,8,0.1250000000000001,15
tonic,0.2,9,-1.0,27
tonic,0.2,10,0.007142857142857149,11
tonic,0.2,11,0.3333333333333335,15
tonic,0.2,12,0.25694444444444436,7
tonic,0.2,13,0.27555555555555555,16
tonic,0.2,14,-0.5625,9
tonic,0.2,15,0.5806451612903227,22
tonic,0.2,16,0.035714285714285705,5
tonic,0.2,17,0.30555555555555564,9
tonic,0.2,18,-0.1522491349480969,8
tonic,0.2,19,0.14736842105263157,6
tonic,0.2,20,-0.02807017543859652,6
tonic,0.2,21,0.08333333333333325,7
tonic,0.2,22,0.08333333333333325,7
tonic,0.2,23,-0.17142857142857143,11
tonic,0.2,24,0.19377162629757788,8
tonic,0.2,25,0.0,25
tonic,0.2,26,0.18571428571428572,11
tonic,0.2,27,0.451923076923077,17
tonic,0.2,28,-0.10526315789473688,10
tonic,0.2,29,-0.02807017543859652,6
tonic,0.4,0,-0.09027777777777786,7
tonic,0.4,1,0.6206896551724138,20
tonic,0.4,2,-0.08058608058608058,4
tonic,0.4,3,-0.015151515151515166,3
tonic,0.4,4,0.0,25
tonic,0.4,5,0.07017543859649122,10
tonic,0.4,6,0.4393939393939395,13
tonic,0.4,7,0.14736842105263157,6
tonic,0.4,8,0.21153846153846156,17
tonic,0.4,9,-1.0,245
tonic,0.4,10,-0.007905138339921132,14
tonic,0.4,11,-1.0,44
