scenario,method,delta,direction_idx,gamma,n_spikes_sim,n_spikes_gt,init_loss,final_loss,kept_source,n_iter,n_clipped,elapsed_s,param_err_C_m,param_err_g_L,param_err_E_L,param_err_v_T,param_err_delta_T,param_err_v_reset
tonic,grad_guarino,0.02,0,1.0,9,9,0.6102574467658997,0.014557131566107273,training,500,0,2.2356460094451904,0.003243156101392663,0.034089088439941406,0.010447184244791666,0.003500518798828125,0.016365201849686473,0.005303083147321429
tonic,grad_vanrossum,0.02,0,1.0,9,9,1.885857343673706,1.191476821899414,training,500,0,3.3317959308624268,0.001805778171705163,0.011605620384216309,0.001309543185763889,0.001406097412109375,0.0155737651021857,0.010020991734095982
tonic,nm_guarino,0.02,0,1.0,9,9,0.5103201866149902,0.004594745580106974,training,677,0,0.93058180809021,0.030601565124510816,0.017883516261759436,0.022587223944559455,0.018521021770031895,0.011196375320232654,0.0022781954601338076
tonic,grad_guarino,0.02,1,0.30555555555555564,9,9,0.3467162549495697,0.30648115277290344,training,500,0,1.9321892261505127,0.00018237570057744564,0.0013829469680786133,0.0176055908203125,0.0044549560546875,0.00585962596692537,0.012452261788504464
tonic,grad_vanrossum,0.02,1,1.0,9,9,3.095615863800049,0.1182667538523674,training,500,0,3.3355047702789307,0.0009775576384171195,0.011397957801818848,0.012508985731336806,0.001405487060546875,0.00984183110688862,0.004210226876395089
tonic,nm_guarino,0.02,1,1.0,9,9,0.3466379940509796,0.004319370724260807,training,737,0,0.9747257232666016,0.030530281584474718,0.005102019123035317,0.02329603110191556,0.004896698356538138,0.003473553893861129,4.1230464662232536e-05
tonic,grad_guarino,0.02,2,0.36678200692041524,8,9,0.6236299276351929,0.6101067066192627,training,500,0,1.8916130065917969,0.0013168998386548913,0.01192331314086914,0.0011366102430555556,0.005892181396484375,0.014784599605359529,0.002425711495535714
tonic,grad_vanrossum,0.02,2,1.0,9,9,3.3078837394714355,0.1432247757911682,training,500,0,3.3768770694732666,0.0019308338994565217,0.030280351638793945,0.0047295464409722225,0.000648956298828125,0.006082195984689813,0.0010953630719866072
tonic,nm_guarino,0.02,2,1.0,9,9,0.5236877202987671,0.004842765163630247,training,1000,0,1.1656007766723633,0.004535758301148749,0.06913951738170931,0.015083939117049756,0.020157156237318077,0.018733970103201367,0.002075025111934435
tonic,grad_guarino,0.02,3,1.0,9,9,0.616957426071167,0.05496203899383545,training,500,0,1.9152300357818604,0.009922326129415762,0.035544753074645996,0.017736646864149306,0.001041717529296875,0.011147624567935341,0.0108184814453125
tonic,grad_vanrossum,0.02,3,1.0,9,9,3.1314282417297363,0.2568321228027344,training,500,0,3.3392579555511475,0.008106861943783968,0.026756644248962402,0.008735826280381944,0.004583740234375,0.0067967364662571954,0.004641287667410714
tonic,nm_guarino,0.02,3,1.0,9,9,0.5170162916183472,0.0009325559949502349,training,603,0,0.8947708606719971,0.004835466657128816,0.029148769687433296,0.003107135099079983,0.007993804822878304,0.0031306487574302637,0.0009710142330348504
tonic,grad_guarino,0.02,4,0.30555555555555564,9,9,0.26763471961021423,0.26763471961021423,init,500,0,1.9319350719451904,0.00370400386562499,0.008970045409607774,0.008391656456349652,0.006100665090226585,0.0020786980802562096,0.01392334882058362
tonic,grad_vanrossum,0.02,4,1.0,9,9,2.628422498703003,0.08812354505062103,training,500,0,3.3464889526367188,0.0033848638119904893,0.0004934072494506836,0.0067874484592013885,0.0091619873046875,0.001956287183259663,0.00610809326171875
tonic,nm_guarino,0.02,4,1.0,9,9,0.26755768060684204,0.0034808192867785692,training,545,0,0.8494348526000977,0.009267279141391041,0.02760702334003362,0.007788463942656815,0.012481533687667365,0.00048429058074946145,0.006150387548571449
