scenario_idx,base,method,delta,direction_idx,iter,loss
0,tonic,grad,0.1,0,0,0.09664947539567947
0,tonic,grad,0.1,0,1,0.9461205005645752
0,tonic,grad,0.1,0,2,0.07495194673538208
0,tonic,grad,0.1,0,3,0.3115471303462982
0,tonic,grad,0.1,0,4,0.5625404715538025
0,tonic,grad,0.1,0,5,0.38427916169166565
0,tonic,grad,0.1,0,6,0.10691864043474197
0,tonic,grad,0.1,0,7,0.020802469924092293
0,tonic,grad,0.1,0,8,0.1419457197189331
0,tonic,grad,0.1,0,9,0.25304749608039856
0,tonic,grad,0.1,0,10,0.20989370346069336
0,tonic,grad,0.1,0,11,0.08687741309404373
0,tonic,grad,0.1,0,12,0.011845766566693783
0,tonic,grad,0.1,0,13,0.03221679478883743
0,tonic,grad,0.1,0,14,0.09766429662704468
0,tonic,grad,0.1,0,15,0.1347775012254715
0,tonic,grad,0.1,0,16,0.1143636479973793
0,tonic,grad,0.1,0,17,0.06023701652884483
0,tonic,grad,0.1,0,18,0.019026415422558784
0,tonic,grad,0.1,0,19,0.020323818549513817
0,tonic,grad,0.1,0,20,0.05293203517794609
0,tonic,grad,0.1,0,21,0.07984837144613266
0,tonic,grad,0.1,0,22,0.07466044276952744
0,tonic,grad,0.1,0,23,0.04552779346704483
0,tonic,grad,0.1,0,24,0.020772000774741173
0,tonic,nm,0.1,0,0,0.09664947539567947
0,tonic,nm,0.1,0,1,0.11891811341047287
0,tonic,nm,0.1,0,2,9.208695411682129
0,tonic,nm,0.1,0,3,0.07809646427631378
0,tonic,nm,0.1,0,4,8.491368293762207
0,tonic,nm,0.1,0,5,2.854534387588501
0,tonic,nm,0.1,0,6,3.2762973308563232
0,tonic,nm,0.1,0,7,0.970946729183197
0,tonic,nm,0.1,0,8,1.2187039852142334
0,tonic,nm,0.1,0,9,0.35389193892478943
0,tonic,nm,0.1,0,10,0.4973917007446289
0,tonic,nm,0.1,0,11,0.15554295480251312
0,tonic,nm,0.1,0,12,0.23993967473506927
0,tonic,nm,0.1,0,13,0.09605642408132553
0,tonic,nm,0.1,0,14,0.02895202673971653
0,tonic,nm,0.1,0,15,0.01504827942699194
0,tonic,nm,0.1,0,16,0.01759103499352932
0,tonic,nm,0.1,0,17,0.10207570344209671
0,tonic,nm,0.1,0,18,0.04801461473107338
0,tonic,nm,0.1,0,19,0.055317170917987823
0,tonic,nm,0.1,0,20,0.029251867905259132
0,tonic,nm,0.1,0,21,0.012094887904822826
0,tonic,nm,0.1,0,22,0.028264401480555534
0,tonic,nm,0.1,0,23,0.029917975887656212
0,tonic,nm,0.1,0,24,0.015978170558810234
1,tonic,grad,0.1,1,0,0.5354226231575012
1,tonic,grad,0.1,1,1,0.7624749541282654
1,tonic,grad,0.1,1,2,0.5113757252693176
1,tonic,grad,0.1,1,3,0.2662576138973236
1,tonic,grad,0.1,1,4,0.30400267243385315
1,tonic,grad,0.1,1,5,0.2992599606513977
1,tonic,grad,0.1,1,6,0.16645115613937378
1,tonic,grad,0.1,1,7,0.07647457718849182
1,tonic,grad,0.1,1,8,0.08829828351736069
1,tonic,grad,0.1,1,9,0.12296243757009506
1,tonic,grad,0.1,1,10,0.10734957456588745
1,tonic,grad,0.1,1,11,0.05742969736456871
1,tonic,grad,0.1,1,12,0.02759728953242302
1,tonic,grad,0.1,1,13,0.04139953479170799
1,tonic,grad,0.1,1,14,0.07044439762830734
1,tonic,grad,0.1,1,15,0.07640243321657181
1,tonic,grad,0.1,1,16,0.05736388638615608
1,tonic,grad,0.1,1,17,0.04009048640727997
1,tonic,grad,0.1,1,18,0.04162313789129257
1,tonic,grad,0.1,1,19,0.053921714425086975
1,tonic,grad,0.1,1,20,0.05950678139925003
1,tonic,grad,0.1,1,21,0.05204622820019722
1,tonic,grad,0.1,1,22,0.038997165858745575
1,tonic,grad,0.1,1,23,0.0320434644818306
1,tonic,grad,0.1,1,24,0.035180993378162384
1,tonic,nm,0.1,1,0,0.5354226231575012
1,tonic,nm,0.1,1,1,0.635908842086792
1,tonic,nm,0.1,1,2,12.684356689453125
1,tonic,nm,0.1,1,3,0.7076014876365662
1,tonic,nm,0.1,1,4,6.071423530578613
1,tonic,nm,0.1,1,5,1.6633663177490234
1,tonic,nm,0.1,1,6,5.524280548095703
1,tonic,nm,0.1,1,7,0.496689110994339
1,tonic,nm,0.1,1,8,0.639794647693634
1,tonic,nm,0.1,1,9,0.4472160339355469
1,tonic,nm,0.1,1,10,0.7070937156677246
1,tonic,nm,0.1,1,11,0.44094717502593994
1,tonic,nm,0.1,1,12,0.8036983609199524
1,tonic,nm,0.1,1,13,0.3926773965358734
1,tonic,nm,0.1,1,14,0.923387348651886
1,tonic,nm,0.1,1,15,0.37148261070251465
1,tonic,nm,0.1,1,16,0.383926123380661
1,tonic,nm,0.1,1,17,0.27217721939086914
1,tonic,nm,0.1,1,18,0.2694389522075653
1,tonic,nm,0.1,1,19,0.28869685530662537
1,tonic,nm,0.1,1,20,0.8246257901191711
1,tonic,nm,0.1,1,21,0.27988162636756897
1,tonic,nm,0.1,1,22,0.17325294017791748
1,tonic,nm,0.1,1,23,0.13938669860363007
1,tonic,nm,0.1,1,24,0.26608437299728394
2,tonic,grad,0.1,2,0,5.5606689453125
2,tonic,grad,0.1,2,1,1.6056400537490845
2,tonic,grad,0.1,2,2,0.032899048179388046
2,tonic,grad,0.1,2,3,0.8230985403060913
2,tonic,grad,0.1,2,4,1.8531163930892944
2,tonic,grad,0.1,2,5,1.6449888944625854
2,tonic,grad,0.1,2,6,0.8403811454772949
2,tonic,grad,0.1,2,7,0.19840195775032043
2,tonic,grad,0.1,2,8,0.024801477789878845
2,tonic,grad,0.1,2,9,0.2240874320268631
2,tonic,grad,0.1,2,10,0.5361959338188171
2,tonic,grad,0.1,2,11,0.742289662361145
2,tonic,grad,0.1,2,12,0.7476193308830261
2,tonic,grad,0.1,2,13,0.58119797706604
2,tonic,grad,0.1,2,14,0.3387727439403534
2,tonic,grad,0.1,2,15,0.12656886875629425
2,tonic,grad,0.1,2,16,0.0322464257478714
2,tonic,grad,0.1,2,17,0.07632335275411606
2,tonic,grad,0.1,2,18,0.2064560353755951
2,tonic,grad,0.1,2,19,0.31944721937179565
2,tonic,grad,0.1,2,20,0.3444557189941406
